Code;Nom;Famille;Coefficient;PrixBaseHT;PrixBaseTTC
01V96;Console 16/8 numérique Yamaha 01V96  24 bits 96 Khz;MIX.;1;€70,00 ;€84,00 
30J;Devis valable 30 jours à partir de la date de création;OPTION.;0;€0,00 ;€0,00 
4CANAUX;Fp10k - 4x1300W/8 - 4x2000W/4 - 4x 2500/2;AMP.;1;€60,00 ;€72,00 
ACL;2 Barres de 4 ACL 28V 250W;TRAD.;1;€35,00 ;€42,00 
ADAPTXO;Adaptateur pour fixation XO15 sur pied;STR.;1;€2,00 ;€2,40 
ADAT8;Carte extension ADAT8IN/8OUTADA8000;PERI.;21,93;€21,93 ;€26,32 
ALIM3X16A;Bloc Alim 32 vers 6X16A a affichage tension et intensité;ALIM.;1;€15,00 ;€18,00 
ALIM50M;Câble d'alimentation Powercon sur touret 50m;ALIM.;1;€15,00 ;€18,00 
ANGLE250;Angle 90° Mobiltech alu 250;STR.;1;€5,00 ;€6,00 
APEXDBQZERO;Egaliseur 1/3oct. stéréo  DBQ Zero Apex;PERI.;1;€25,00 ;€30,00 
APEXGX230;Egaliseur 1/3oct. stéréo GX230 Apex;PERI.;1;€25,00 ;€30,00 
ARCOM4000;Arri compact 4000 fresnel HMI;;1;€200,00 ;€240,00 
ARCS;Enceinte WST L-Acoustics  ARCS Biamp 750W 22.5°;ENC.;1;€33,00 ;€39,60 
ARMOIRE125A;Armoire élec. protégée Tri+N+T 125A/phase 30/300mA;ALIM.;1;€70,00 ;€84,00 
ARMOIRE32A;Armoire alim. élec. Tri+N+T 32A/phase protec.30mA;ALIM.;1;€35,00 ;€42,00 
ARMOIRE3X16;Armoire électrique 3x16A;ALIM.;1;€15,00 ;€18,00 
ARMOIRE63A;Armoire 63A Tri +N+T/3x32A Tri+N+T;ALIM.;1;€40,00 ;€48,00 
ARMOIREMOT;Armoire moteurs 4 commandes individuelles;ACC.;1;€30,00 ;€36,00 
ASSIST;Assistant montage / plateau;PERS.;1;€327,00 ;€392,40 
B5;Micro statique double capsule B5 Behringer;CAPT.;1;€10,00 ;€12,00 
B52;Micro supercardioïde BETA 52 Shure;CAPT.;1;€7,00 ;€8,40 
B57A;Micro supercardioïde B57A Shure;CAPT.;1;€7,00 ;€8,40 
B58;Micro supercardioïde Béta 58 Shure;CAPT.;1;€7,00 ;€8,40 
B91;Micro Shure Beta 91 statique de surface;CAPT.;1;€15,00 ;€18,00 
B98;Microphone Shure B98 pince cuivre;CAPT.;1;€15,00 ;€18,00 
BACKLINER;Backliner plateau  cachet brut + charges;PERS.;1;€327,00 ;€392,40 
BAMP4X10;Baffle Ampeg 4X10 néo pro;;1;€30,00 ;€36,00 
BARRALU;Barre aluminium 2m diam.50 avec coquille;STR.;1;€4,00 ;€4,80 
BARRE6PROJO;Barre en T pour 6 projecteurs;TRAD.;1;€3,50 ;€4,20 
BARREPAR;Barre de 4 projecteurs PAR HPL 575;TRAD.;1;€20,00 ;€24,00 
BARREPAR2;Barre de 2 projecteurs PAR HPL 575;TRAD.;1;€8,00 ;€9,60 
BBANQU;Banquette;;1;€15,00 ;€18,00 
BCCDW14;Caisse claire DW 14;;1;€25,00 ;€30,00 
BCYMCHA;Cymbale Charleston 14;;1;€12,00 ;€14,40 
BCYMCRASH18;Cymbale crash 18;;1;€8,00 ;€9,60 
BCYMCRASH19;Cymbale crash 19;;1;€10,00 ;€12,00 
BCYMRIDE;Cymbale ride 20;;1;€10,00 ;€12,00 
BFTOM16;Floor Tom DW 16;;1;€29,00 ;€34,80 
BFTOM18;Floor Tom DW 18;;1;€32,00 ;€38,40 
BGC22;Grosse caisse DW 22;;1;€50,00 ;€60,00 
BLOC12X3;Bloc DMX 12x 2.3 kW + Protec 30mA P17 32;BLOC.;1;€35,00 ;€42,00 
BLOC4;Bloc de puissance 4 circuits / alim PC16;TRAD.;1;€2,00 ;€2,40 
BMARSHALL;Ampli guitare à lampes Marshall;;1;€60,00 ;€72,00 
BNORD2;Clavier nord stage 2 88ex;;1;€100,00 ;€120,00 
BOITIER32MONO;Boîtier d'alimentation 32A Tri vers 3x 32A mono;ALIM.;1;€10,00 ;€12,00 
BOITIER63A;Boitier de dérivation P17 1x63a / 2 x 32A + 30mA;ALIM.;1;€10,00 ;€12,00 
BPEDCHARLEY;Pédale charleston DW;;1;€15,00 ;€18,00 
BPEDGC;Pedale de grosse caisse DW;;1;€15,00 ;€18,00 
BPIEDCYM;Pied de cymbale perche DW;;1;€5,00 ;€6,00 
BPUPITRE;Pupitre;;1;€15,00 ;€18,00 
BR18;Kyu BR18 Sub Bass reflex 1000W AES 98dB@1W;ENC.;1;€20,00 ;€24,00 
BR25;"Kyu BR25 Sub Bass Reflex 2x18"" bobine 5""";ENC.;1;€35,00 ;€42,00 
BROUILLARD;Machine à brouillard TX-1500;TRAD.;1;€60,00 ;€72,00 
BSTANDAX48;Stand clavier double AX48;;1;€15,00 ;€18,00 
BSVTCL;Tête Ampeg SVT CL classic;;1;€50,00 ;€60,00 
BSYNTTRITON;Korg triton le 88;;1;€110,00 ;€132,00 
BTOM13;Tom DW 13;;0;€0,00 ;€0,00 
C414;"Microphone statique 1"" AKG C414";CAPT.;1;€30,00 ;€36,00 
C451;Micro statique cardioïde C451 AKG;CAPT.;1;€15,00 ;€18,00 
C535EB;Micro statique cardioïde C535eb AKG;CAPT.;1;€15,00 ;€18,00 
CABLESALIM;Ensemble de câbles d'alimentation P17 / Powercon;ALIM.;1;€25,00 ;€30,00 
CABLESHP;Ensemble de câbles HP FOH/Monitoring;CABHP.;1;€25,00 ;€30,00 
CABLESLIGHT;Ensemble de câbles lumière;CABLIGHT.;1;€25,00 ;€30,00 
CABLESMODULE;Ensemble de câbles modulation XLR/XLR;CON.;1;€25,00 ;€30,00 
CABLESPLAT;Ensemble de sous-patch modulaire plateau;CON.;1;€60,00 ;€72,00 
CABLESRJ;Ensemble de câbles réseau RJ45;CON.;1;€60,00 ;€72,00 
CDAUDIOPHONY;Lecteur CD Audiophony CD1230;LEC.;1;€10,00 ;€12,00 
CDAUTO;Lecteur CD Autopause;LEC.;1;€31,00 ;€37,20 
CDDOUBLE;Double lecteur CD Audiophony + télécommande;LEC.;1;€20,00 ;€24,00 
CHAUFFEUR;Chauffeur livraison;PERS.;1;€110,00 ;€132,00 
CL5;Console Digitale Yamaha CL5 + Rio3224D + multi RJ45;MIX.;1;€400,00 ;€480,00 
CLEM;Affaire suivie par Clémence;;0;€0,00 ;€0,00 
CONTROL1;Rack contrôle EQ XTA et Ultra-curve DEQ2496 Behringer;PERI.;1;€40,00 ;€48,00 
CONTROL2;Rack de contrôle  EQ XTA et/ou  APEX GX230;PERI.;1;€40,00 ;€48,00 
